type_survey,date_elec,id_pollster,pollster,media,field_date_from,field_date_to,exit_poll,size,turnout,UCD,PSOE,PCE,AP,CIU,PA,EAJ-PNV,HB,ERC,EE,CDS,FN,PAD,PRD,MUC,IU,CG,PAR,AIC,UV,EA,PP,LV,ARM,PDP,CC,PAP,BNG,ICV,EH,UPYD,AMAIUR,CS,DIL-CDC,EH-BILDU,UP,PACMA,PODEMOS,COMPROMIS,VOX,JXCAT-JUNTS,NA-SUMA,PDECAT,CC-NC,PRC,MP,CUP,TE,EV
national,1982-10-28,pollster-7,EL PAÍS,NA,1982-09-09,1982-09-09,FALSE,NA,NA,13.6,48.3,6.4,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-3,SOFEMASA,EL PAÍS,1982-08-24,1982-08-30,FALSE,2460,NA,8.5,50.7,5.6,11.8,NA,NA,NA,NA,NA,NA,2.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-8,METRA SEIS,DIARIO 16,1982-08-06,1982-08-06,FALSE,1857,84.8,8,42.1,1.9,12.2,1.9,0.6,0.5,0.5,1.8,0.5,NA,1.6,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1982-07-05,1982-07-18,FALSE,NA,NA,14,45,7,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1982-04-05,1982-04-25,FALSE,NA,NA,17,40,7,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-9,TIEMPO,NA,1981-12-12,1981-12-12,FALSE,NA,NA,21,33.1,9.1,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1981-11-02,1981-11-22,FALSE,NA,NA,20,40,7,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-10,CEF,PSOE,1981-10-28,1981-10-28,FALSE,NA,NA,20,40,7,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1981-09-08,1981-09-17,FALSE,NA,NA,17,44,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1981-07-03,1981-07-16,FALSE,NA,NA,21,45,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1981-06-06,1981-06-18,FALSE,NA,NA,23,43,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1981-05-11,1981-05-21,FALSE,NA,NA,25,40,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1981-04-04,1981-04-23,FALSE,1879,NA,23.6,42,7.9,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1981-02-16,1981-02-23,FALSE,1892,NA,25.9,36.3,9.1,9.1,2.7,1.8,2.2,1.2,1,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1981-01-16,1981-01-30,FALSE,NA,NA,26.2,35.5,9,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1980-12-03,1980-12-14,FALSE,NA,NA,27.4,34.4,8.6,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1980-11-06,1980-11-16,FALSE,1892,NA,28.3,33.9,8.7,8,2.7,2.4,2.4,1.5,1.3,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1980-10-06,1980-10-19,FALSE,NA,NA,28.7,34.7,8.6,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1980-09-04,1980-09-14,FALSE,NA,NA,27.7,33.5,9.4,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1980-06-09,1980-07-06,FALSE,1888,NA,25.8,33.8,10.4,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1980-06-09,1980-06-16,FALSE,1002,NA,26.3,32.7,10,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1980-04-11,1980-04-21,FALSE,NA,NA,29.6,29.3,9.5,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1980-03-11,1980-03-21,FALSE,3047,NA,30.2,29.8,9.8,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1980-02-07,1980-02-11,FALSE,NA,NA,30.8,31.9,10.4,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1979-12-05,1979-12-16,FALSE,NA,NA,32,31.2,11.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1979-10-03,1979-10-14,FALSE,NA,NA,31.7,34.3,9.7,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1982-10-28,pollster-6,GALLUP,NA,1979-06-11,1979-06-18,FALSE,NA,NA,34,30.8,10.5,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-11,ECO,CADENA SER,1986-06-16,1986-06-16,FALSE,NA,NA,NA,40.2,NA,25.5,NA,NA,NA,NA,NA,NA,9.9,NA,NA,4,1.3,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-12,TELEMARKET,PRD,1986-06-14,1986-06-14,FALSE,10105,NA,NA,39.1,NA,22.2,5.2,1,2.5,0.8,0.5,0.5,5.4,NA,NA,9.7,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-13,ARESCO,ABC,1986-06-11,1986-06-13,FALSE,2505,71.1,NA,39.9,NA,28.7,4.5,NA,1.8,1,0.3,0.4,9,NA,NA,3.2,1.3,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-14,EMOPÚBLICA,GRUPO 16,1986-06-05,1986-06-11,FALSE,6081,71.9,NA,45.5,NA,23,NA,NA,1.7,1.3,1.2,1,10.8,NA,NA,6.2,1.2,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-11,ECO,CADENA SER,1986-06-10,1986-06-10,FALSE,1326,NA,NA,40.2,NA,26.3,4.8,NA,1.8,1.1,NA,0.6,9.6,NA,NA,3.7,1.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-15,PERFILES,NA,1986-06-09,1986-06-10,FALSE,NA,NA,NA,39.4,NA,19.3,5.3,NA,2.3,NA,NA,NA,2.9,NA,NA,12.4,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-6,GALLUP,YA,1986-06-02,1986-06-09,FALSE,6046,NA,NA,40,NA,24,6,NA,2,1,1,1,9,NA,NA,4,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-16,DEMOSCOPIA,EL PAÍS,1986-06-05,1986-06-08,FALSE,5200,70,NA,41,NA,24,6,0.4,3,1.4,1,0.7,11,NA,NA,3,0.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-17,IOPE–ETMAR,EL PERIÓDICO,1986-06-03,1986-06-07,FALSE,7209,72,NA,42.4,NA,24.1,4.7,NA,1.7,1.1,0.6,0.5,11.7,NA,NA,2.8,2,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-15,PERFILES,NA,1986-06-02,1986-06-03,FALSE,4480,NA,NA,40.3,NA,19.7,4.9,NA,2.2,0.8,0.4,0.6,2.5,NA,NA,12.9,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-11,ECO,CADENA SER,1986-06-02,1986-06-03,FALSE,1311,73,NA,40.3,NA,26.5,5.4,NA,1.8,1.2,NA,0.5,8.4,NA,NA,3.6,1,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-18,SIGMA DOS,ACTUALIDAD,1986-05-30,1986-06-02,FALSE,1111,NA,NA,38.5,NA,26.5,4.9,NA,1.9,1,NA,0.4,8.7,NA,NA,4.7,2.8,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-15,PERFILES,NA,1986-05-26,1986-05-27,FALSE,4265,NA,NA,40.2,NA,23.1,4.6,NA,2,0.5,0.4,0.3,2.8,NA,NA,12.8,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-16,DEMOSCOPIA,EL PAÍS,1986-05-24,1986-05-27,FALSE,5200,72,NA,46,NA,25,6,NA,3,1,0.3,0.7,8,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-19,CIS,NA,1986-05-21,1986-05-25,FALSE,5615,NA,NA,46.5,NA,25.5,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-15,PERFILES,NA,1986-05-19,1986-05-20,FALSE,4330,73.6,NA,42,NA,23.4,3.9,NA,1.9,0.6,0.4,0.3,3.5,NA,NA,11.4,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-11,ECO,CADENA SER,1986-05-19,1986-05-19,FALSE,NA,NA,NA,42,NA,29.1,5.2,NA,1.9,0.9,NA,0.6,5.3,NA,NA,3.4,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-20,TYPOL,CP,1986-05-16,1986-05-18,FALSE,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-18,SIGMA DOS,ACTUALIDAD,1986-05-10,1986-05-14,FALSE,1111,NA,NA,38.4,NA,25.8,4.5,NA,1.9,1,NA,0.4,7.2,NA,NA,4.9,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-20,TYPOL,NA,1986-04-24,1986-05-10,FALSE,5000,NA,NA,43.5,NA,28.6,NA,NA,2.1,0.9,0.4,0.9,5.8,NA,NA,9.7,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-14,EMOPÚBLICA,CAMBIO 16,1986-04-23,1986-04-25,FALSE,1200,NA,NA,44.3,7.4,27.7,3.8,NA,0.8,0.9,NA,1,6.5,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-14,EMOPÚBLICA,CAMBIO 16,1986-03-04,1986-03-04,FALSE,1300,NA,NA,40.7,NA,29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-14,EMOPÚBLICA,CAMBIO 16,1986-01-13,1986-01-13,FALSE,NA,NA,NA,43,NA,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-3,SOFEMASA,LA VANGUARDIA,1985-11-16,1985-12-01,FALSE,1849,NA,NA,50.5,7.4,19.8,3.8,0.8,2.3,NA,NA,NA,4,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-5,AP,NA,1985-11-14,1985-11-14,FALSE,6500,NA,NA,40,4,32.5,3,NA,2,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-17,IOPE–ETMAR,MEDITERRÁNEO,1985-07-05,1985-07-23,FALSE,1600,NA,NA,44.9,5,24.6,3.9,0.7,1.8,NA,NA,NA,9.2,NA,NA,2.7,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-3,SOFEMASA,CEOE,1985-06-24,1985-07-07,FALSE,23000,NA,NA,46,NA,28,NA,NA,NA,NA,NA,NA,5.6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-20,TYPOL,AP,1985-06-26,1985-06-26,FALSE,2580,NA,NA,41.4,4.4,31.7,3.1,NA,2.2,NA,NA,NA,6.1,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
national,1986-06-22,pollster-18,SIGMA DOS,ACTUALIDAD,1985-06-04,1985-06-11,FALSE,1111,NA,NA,35.4,5.9,27,3,NA,2.1,0.9,NA,0.6,5.2,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
